subject,analysis_type,roi,hemisphere,status,n_sig_parcels,n_sig_voxels
sub-025,fc,pIPS,left,success,1,59
sub-038,fc,pIPS,left,success,2,931
sub-057,fc,pIPS,left,success,1,6
sub-059,fc,pIPS,left,success,0,0
sub-064,fc,pIPS,left,success,2,263
sub-067,fc,pIPS,left,success,0,0
sub-068,fc,pIPS,left,success,0,0
sub-071,fc,pIPS,left,success,0,0
sub-083,fc,pIPS,left,success,0,0
sub-085,fc,pIPS,left,success,0,0
sub-087,fc,pIPS,left,success,0,0
sub-088,fc,pIPS,left,success,1,6
sub-093,fc,pIPS,left,success,0,0
sub-094,fc,pIPS,left,success,1,424
sub-095,fc,pIPS,left,success,0,0
sub-096,fc,pIPS,left,success,0,0
sub-097,fc,pIPS,left,success,5,1163
sub-107,fc,pIPS,left,success,4,1313
sub-025,fc,pIPS,right,success,3,632
sub-038,fc,pIPS,right,success,2,966
sub-057,fc,pIPS,right,success,0,0
sub-059,fc,pIPS,right,success,0,0
sub-064,fc,pIPS,right,success,0,0
sub-067,fc,pIPS,right,success,0,0
sub-068,fc,pIPS,right,success,0,0
sub-071,fc,pIPS,right,success,0,0
sub-083,fc,pIPS,right,success,0,0
sub-085,fc,pIPS,right,success,1,25
sub-087,fc,pIPS,right,success,2,1416
sub-088,fc,pIPS,right,success,3,452
sub-093,fc,pIPS,right,success,0,0
sub-094,fc,pIPS,right,success,0,0
sub-095,fc,pIPS,right,success,0,0
sub-096,fc,pIPS,right,success,2,458
sub-097,fc,pIPS,right,success,1,59
sub-107,fc,pIPS,right,success,1,6
sub-025,fc,LO,left,success,1,54
sub-038,fc,LO,left,success,3,4864
sub-057,fc,LO,left,success,0,0
sub-059,fc,LO,left,success,0,0
sub-064,fc,LO,left,success,0,0
sub-067,fc,LO,left,success,0,0
sub-068,fc,LO,left,success,1,529
sub-071,fc,LO,left,success,0,0
sub-083,fc,LO,left,success,1,3872
sub-085,fc,LO,left,success,1,6
sub-087,fc,LO,left,success,0,0
sub-088,fc,LO,left,success,0,0
sub-093,fc,LO,left,success,0,0
sub-094,fc,LO,left,success,1,421
sub-095,fc,LO,left,success,0,0
sub-096,fc,LO,left,success,0,0
sub-097,fc,LO,left,success,2,707
sub-107,fc,LO,left,success,3,4937
sub-025,fc,LO,right,success,1,59
sub-038,fc,LO,right,success,2,4569
sub-057,fc,LO,right,success,0,0
sub-059,fc,LO,right,success,0,0
sub-064,fc,LO,right,success,2,4506
sub-067,fc,LO,right,success,0,0
sub-068,fc,LO,right,success,2,941
sub-071,fc,LO,right,success,0,0
sub-083,fc,LO,right,success,3,5845
sub-085,fc,LO,right,success,3,5029
sub-087,fc,LO,right,success,0,0
sub-088,fc,LO,right,success,2,423
sub-093,fc,LO,right,success,0,0
sub-094,fc,LO,right,success,2,4619
sub-095,fc,LO,right,success,0,0
sub-096,fc,LO,right,success,4,5377
sub-097,fc,LO,right,success,2,722
sub-107,fc,LO,right,success,5,6841
sub-025,ppi,pIPS,left,success,1,166
sub-038,ppi,pIPS,left,success,0,0
sub-057,ppi,pIPS,left,success,1,6
sub-059,ppi,pIPS,left,success,0,0
sub-064,ppi,pIPS,left,success,0,0
sub-067,ppi,pIPS,left,success,0,0
sub-068,ppi,pIPS,left,success,0,0
sub-071,ppi,pIPS,left,success,0,0
sub-083,ppi,pIPS,left,success,1,3360
sub-085,ppi,pIPS,left,success,1,995
sub-087,ppi,pIPS,left,success,0,0
sub-088,ppi,pIPS,left,success,0,0
sub-093,ppi,pIPS,left,success,0,0
sub-094,ppi,pIPS,left,success,0,0
sub-095,ppi,pIPS,left,success,0,0
sub-096,ppi,pIPS,left,success,2,839
sub-097,ppi,pIPS,left,success,0,0
sub-107,ppi,pIPS,left,success,1,458
sub-025,ppi,pIPS,right,success,1,54
sub-038,ppi,pIPS,right,success,0,0
sub-057,ppi,pIPS,right,success,0,0
sub-059,ppi,pIPS,right,success,0,0
sub-064,ppi,pIPS,right,success,0,0
sub-067,ppi,pIPS,right,success,0,0
sub-068,ppi,pIPS,right,success,0,0
sub-071,ppi,pIPS,right,success,2,824
sub-083,ppi,pIPS,right,success,0,0
sub-085,ppi,pIPS,right,success,1,25
sub-087,ppi,pIPS,right,success,0,0
sub-088,ppi,pIPS,right,success,0,0
sub-093,ppi,pIPS,right,success,0,0
sub-094,ppi,pIPS,right,success,0,0
sub-095,ppi,pIPS,right,success,0,0
sub-096,ppi,pIPS,right,success,3,4090
sub-097,ppi,pIPS,right,success,0,0
sub-107,ppi,pIPS,right,success,0,0
sub-025,ppi,LO,left,success,2,201
sub-038,ppi,LO,left,success,0,0
sub-057,ppi,LO,left,success,0,0
sub-059,ppi,LO,left,success,0,0
sub-064,ppi,LO,left,success,0,0
sub-067,ppi,LO,left,success,0,0
sub-068,ppi,LO,left,success,0,0
sub-071,ppi,LO,left,success,1,6
sub-083,ppi,LO,left,success,1,3453
sub-085,ppi,LO,left,success,2,4859
sub-087,ppi,LO,left,success,0,0
sub-088,ppi,LO,left,success,0,0
sub-093,ppi,LO,left,success,0,0
sub-094,ppi,LO,left,success,0,0
sub-095,ppi,LO,left,success,0,0
sub-096,ppi,LO,left,success,3,1165
sub-097,ppi,LO,left,success,3,3964
sub-107,ppi,LO,left,success,2,878
sub-025,ppi,LO,right,success,0,0
sub-038,ppi,LO,right,success,0,0
sub-057,ppi,LO,right,success,0,0
sub-059,ppi,LO,right,success,0,0
sub-064,ppi,LO,right,success,0,0
sub-067,ppi,LO,right,success,0,0
sub-068,ppi,LO,right,success,0,0
sub-071,ppi,LO,right,success,0,0
sub-083,ppi,LO,right,success,2,3902
sub-085,ppi,LO,right,success,2,4763
sub-087,ppi,LO,right,success,0,0
sub-088,ppi,LO,right,success,0,0
sub-093,ppi,LO,right,success,0,0
sub-094,ppi,LO,right,success,0,0
sub-095,ppi,LO,right,success,0,0
sub-096,ppi,LO,right,success,0,0
sub-097,ppi,LO,right,success,3,3938
sub-107,ppi,LO,right,success,2,456
