roi_index,roi_name,network,overlap_percentage,unique_coverage,parcel
2,7Networks_LH_Vis_3,Vis,15.429917550058892,15.429917550058892,LO
104,7Networks_RH_Vis_5,Vis,14.440518256772675,14.440518256772675,LO
134,7Networks_RH_DorsAttn_Post_1,DorsAttn,7.232037691401649,7.232037691401649,LO
135,7Networks_RH_DorsAttn_Post_2,DorsAttn,6.831566548881036,6.831566548881036,LO
7,7Networks_LH_Vis_8,Vis,5.535924617196701,5.535924617196701,LO
31,7Networks_LH_DorsAttn_Post_2,DorsAttn,5.111896348645465,5.111896348645465,LO
10,7Networks_LH_Vis_11,Vis,4.452296819787986,4.452296819787986,LO
110,7Networks_RH_Vis_11,Vis,3.180212014134275,3.180212014134275,LO
107,7Networks_RH_Vis_8,Vis,2.9917550058892814,2.9917550058892814,LO
1,7Networks_LH_Vis_2,Vis,2.944640753828033,2.944640753828033,LO
102,7Networks_RH_Vis_3,Vis,2.732626619552415,2.732626619552415,LO
4,7Networks_LH_Vis_5,Vis,2.1201413427561837,2.1201413427561837,LO
30,7Networks_LH_DorsAttn_Post_1,DorsAttn,1.8138987043580683,1.8138987043580683,LO
8,7Networks_LH_Vis_9,Vis,1.6254416961130742,1.6254416961130742,LO
147,7Networks_RH_SalVentAttn_TempOccPar_1,SalVentAttn,1.2249705535924618,1.2249705535924618,LO
114,7Networks_RH_Vis_15,Vis,10.527032548004902,10.527032548004902,pIPS
36,7Networks_LH_DorsAttn_Post_7,DorsAttn,7.721639656816015,7.721639656816015,pIPS
32,7Networks_LH_DorsAttn_Post_3,DorsAttn,7.544600299605066,7.544600299605066,pIPS
13,7Networks_LH_Vis_14,Vis,7.190521585183168,7.190521585183168,pIPS
79,7Networks_LH_Default_Par_2,Default,5.937627672613374,5.937627672613374,pIPS
141,7Networks_RH_DorsAttn_Post_8,DorsAttn,5.474601661446275,5.474601661446275,pIPS
12,7Networks_LH_Vis_13,Vis,5.188615007490126,5.188615007490126,pIPS
113,7Networks_RH_Vis_14,Vis,5.079667710744927,5.079667710744927,pIPS
166,7Networks_RH_Cont_Par_3,Cont,4.494075990739479,4.494075990739479,pIPS
111,7Networks_RH_Vis_12,Vis,4.044668391665532,4.044668391665532,pIPS
61,7Networks_LH_Cont_Par_2,Cont,3.6633528530573334,3.6633528530573334,pIPS
139,7Networks_RH_DorsAttn_Post_6,DorsAttn,3.6497344409641834,3.6497344409641834,pIPS
70,7Networks_LH_Cont_pCun_1,Cont,3.363747787008035,3.363747787008035,pIPS
181,7Networks_RH_Default_Par_1,Default,2.7781560670025875,2.7781560670025875,pIPS
10,7Networks_LH_Vis_11,Vis,2.1653275228108404,2.1653275228108404,pIPS
176,7Networks_RH_Cont_pCun_1,Cont,2.1380906986245405,2.1380906986245405,pIPS
110,7Networks_RH_Vis_11,Vis,1.6205910390848426,1.6205910390848426,pIPS
38,7Networks_LH_DorsAttn_Post_9,DorsAttn,1.348222797221844,1.348222797221844,pIPS
81,7Networks_LH_Default_Par_4,Default,1.1575650279177447,1.1575650279177447,pIPS
112,7Networks_RH_Vis_13,Vis,0.898815198147896,0.898815198147896,pIPS
37,7Networks_LH_DorsAttn_Post_8,DorsAttn,0.871578373961596,0.871578373961596,pIPS
141,7Networks_RH_DorsAttn_Post_8,DorsAttn,9.68305756233978,9.68305756233978,aIPS
36,7Networks_LH_DorsAttn_Post_7,DorsAttn,7.049638778839432,7.049638778839432,aIPS
114,7Networks_RH_Vis_15,Vis,6.035889070146819,6.035889070146819,aIPS
32,7Networks_LH_DorsAttn_Post_3,DorsAttn,5.488231181542764,5.488231181542764,aIPS
142,7Networks_RH_DorsAttn_Post_9,DorsAttn,5.406665113027266,5.406665113027266,aIPS
139,7Networks_RH_DorsAttn_Post_6,DorsAttn,5.033791656956421,5.033791656956421,aIPS
143,7Networks_RH_DorsAttn_Post_10,DorsAttn,4.847354928920997,4.847354928920997,aIPS
166,7Networks_RH_Cont_Par_3,Cont,4.64926590538336,4.64926590538336,aIPS
38,7Networks_LH_DorsAttn_Post_9,DorsAttn,4.416219995339081,4.416219995339081,aIPS
61,7Networks_LH_Cont_Par_2,Cont,4.404567699836868,4.404567699836868,aIPS
39,7Networks_LH_DorsAttn_Post_10,DorsAttn,3.8802144022372405,3.8802144022372405,aIPS
37,7Networks_LH_DorsAttn_Post_8,DorsAttn,3.705429969704032,3.705429969704032,aIPS
140,7Networks_RH_DorsAttn_Post_7,DorsAttn,3.1577720810999765,3.1577720810999765,aIPS
35,7Networks_LH_DorsAttn_Post_6,DorsAttn,2.8431601025402005,2.8431601025402005,aIPS
70,7Networks_LH_Cont_pCun_1,Cont,2.540200419482638,2.540200419482638,aIPS
113,7Networks_RH_Vis_14,Vis,1.9459333488697272,1.9459333488697272,aIPS
24,7Networks_LH_SomMot_11,SomMot,1.6429736658121652,1.6429736658121652,aIPS
111,7Networks_RH_Vis_12,Vis,1.5031461197855978,1.5031461197855978,aIPS
176,7Networks_RH_Cont_pCun_1,Cont,1.491493824283384,1.491493824283384,aIPS
13,7Networks_LH_Vis_14,Vis,1.4099277557678864,1.4099277557678864,aIPS
12,7Networks_LH_Vis_13,Vis,1.2351433232346771,1.2351433232346771,aIPS
199,7Networks_RH_Default_pCunPCC_3,Default,0.908879049172687,0.908879049172687,aIPS
81,7Networks_LH_Default_Par_4,Default,0.8739221626660453,0.8739221626660453,aIPS
98,7Networks_LH_Default_pCunPCC_4,Default,0.8273129806571895,0.8273129806571895,aIPS
127,7Networks_RH_SomMot_13,SomMot,0.6874854346306222,0.6874854346306222,aIPS
79,7Networks_LH_Default_Par_2,Default,0.536005593101841,0.536005593101841,aIPS
30,7Networks_LH_DorsAttn_Post_1,DorsAttn,29.846938775510207,29.846938775510207,PFS
100,7Networks_RH_Vis_1,Vis,13.979591836734695,13.979591836734695,PFS
134,7Networks_RH_DorsAttn_Post_1,DorsAttn,10.86734693877551,10.86734693877551,PFS
0,7Networks_LH_Vis_1,Vis,10.204081632653061,10.204081632653061,PFS
101,7Networks_RH_Vis_2,Vis,5.86734693877551,5.86734693877551,PFS
99,7Networks_LH_Default_PHC_1,Default,5.510204081632653,5.510204081632653,PFS
1,7Networks_LH_Vis_2,Vis,3.2653061224489797,3.2653061224489797,PFS
102,7Networks_RH_Vis_3,Vis,1.530612244897959,1.530612244897959,PFS
57,7Networks_LH_Limbic_TempPole_2,Limbic,0.6122448979591837,0.6122448979591837,PFS
